"","word"
"1004","could"
"1005","be"
"1006","since"
"1007","the"
"1008","primary"
"1009","writingmedium"
"1010","of"
"1011","the"
"1012","time"
"1013","was"
"1014","iron"
"1015","gall"
"1016","ink"
"1017","the"
"1018","pen"
"1019","is"
"1020","just"
"1021","a"
"1022","pen"
"1023","but"
"1024","then"
"1025","why"
"1026","not"
"1027","say"
"1028","a"
"1029","pen"
"1030","why"
"1031","why"
"1032","say"
"1033","iron"
"1034","pen"
"1035","cos"
"1036","it's"
"1037","a"
"1038","prison"
"1039","wait"
"1040","a"
"1041","minute"
"1042","iron"
"1043","pen"
"1044","the"
"1045","irondoes"
"1046","not"
"1047","describe"
"1048","the"
"1049","ink"
"1050","in"
"1051","the"
"1052","pen"
"1053","it"
"1054","describes"
"1055","what"
"1056","was"
"1057","penned"
"1058","it"
"1059","was"
"1060","iron"
"1061","it"
"1062","was"
"1063","firm"
"1064","it"
"1065","was"
"1066","mineral"
"1067","no"
"1068","no"
"1069","no"
"1070","that's"
"1071","stupid"
"1072","it"
"1073","was"
"1074","it"
"1075","was"
"1076","firm"
"1077","it"
"1078","was"
"1079","adamant"
"1080","it"
"1081","was"
"1082","resolved"
"1083","it"
"1084","was"
"1085","resolved"
"1086","mr"
"1087","matlack"
"1088","can't"
"1089","offend"
"1090","timothy"
"1091","matlack"
"1092","was"
"1093","the"
"1094","official"
"1095","scribeof"
"1096","the"
"1097","continental"
"1098","congress"
"1099","calligrapher"
"1100","not"
"1101","writer"
"1102","and"
"1103","to"
"1104","make"
"1105","surehe"
"1106","could"
"1107","not"
"1108","offend"
"1109","the"
"1110","map"
"1111","it"
"1112","was"
"1113","put"
"1114","on"
"1115","the"
"1116","back"
"1117","of"
"1118","a"
"1119","resolutionthat"
"1120","he"
"1121","transcribed"
"1122","a"
"1123","resolution"
"1124","that"
"1125","men"
"1126","signed"
"1127","the"
"1128","declaration"
"1129","of"
"1130","independence"
"1131","come"
"1132","on"
"1133","there's"
"1134","no"
"1135","invisible"
"1136","map"
"1137","on"
"1138","theback"
"1139","of"
"1140","the"
"1141","declaration"
"1142","of"
"1143","independence"
"1144","that's"
"1145","clever"
"1146","really.a"
"1147","document"
"1148","of"
"1149","that"
"1150","importance"
"1151","would"
"1152","ensure"
"1153","the"
"1154","map's"
"1155","survival"
"1156","and"
"1157","you"
"1158","said"
"1159","there"
"1160","were"
"1161","several"
"1162","masonssigned"
"1163","it"
"1164","yeah"
"1165","yeah"
"1166","nine"
"1167","for"
"1168","sure"
"1169","we'll"
"1170","have"
"1171","to"
"1172","arrange"
"1173","a"
"1174","way"
"1175","to"
"1176","examine"
"1177","it"
"1178","this"
"1179","is"
"1180","one"
"1181","of"
"1182","the"
"1183","most"
"1184","importantdocuments"
"1185","in"
"1186","history"
"1187","they're"
"1188","not"
"1189","just"
"1190","gonna"
"1191","let"
"1192","us"
"1193","waltz"
"1194","in"
"1195","thereand"
"1196","run"
"1197","chemical"
"1198","tests"
"1199","on"
"1200","it"
"1201","then"
"1202","what"
"1203","do"
"1204","you"
"1205","propose"
"1206","we"
"1207","do"
"1208","i"
"1209","don't"
"1210","know"
"1211","we"
"1212","could"
"1213","borrow"
"1214","it"
"1215","steal"
"1216","it"
"1217","i"
"1218","don't"
"1219","think"
"1220","so"
"1221","ben"
"1222","the"
"1223","treasure"
"1224","of"
"1225","the"
"1226","knights"
"1227","templaris"
"1228","the"
"1229","treasure"
"1230","of"
"1231","all"
"1232","treasures"
"1233","oh"
"1234","i"
"1235","didn't"
"1236","know"
"1237","that.really"
"1238","look"
"1239","ben"
"1240","i"
"1241","understand"
"1242","your"
"1243","bitterness.i"
"1244","really"
"1245","do"
"1246","you've"
"1247","spent"
"1248","your"
"1249","entire"
"1250","lifesearching"
"1251","for"
"1252","this"
"1253","treasure"
"1254","only"
"1255","to"
"1256","havethe"
"1257","respected"
"1258","historical"
"1259","community"
"1260","treat"
"1261","you"
"1262","and"
"1263","your"
"1264","familywith"
"1265","mockery"
"1266","and"
"1267","contempt"
"1268","you"
"1269","should"
"1270","be"
"1271","able"
"1272","to"
"1273","rub"
"1274","this"
"1275","treasurein"
"1276","their"
"1277","arrogant"
"1278","faces"
"1279","and"
"1280","i"
"1281","want"
"1282","you"
"1283","to"
"1284","havethe"
"1285","chance"
"1286","to"
"1287","do"
"1288","that"
"1289","how"
"1290","we"
"1291","all"
"1292","have"
"1293","our"
"1294","areas"
"1295","of"
"1296","expertise"
"1297","you"
"1298","don't"
"1299","think"
"1300","mine"
"1301","are"
"1302","limitedto"
"1303","writing"
"1304","cheques"
"1305","do"
"1306","you"
"1307","in"
"1308","another"
"1309","life"
"1310","i"
"1311","arranged"
"1312","a"
"1313","number"
"1314","of"
"1315","operations"
"1316","of"
"1317","questionable"
"1318","legality"
"1319","i'd"
"1320","take"
"1321","his"
"1322","word"
"1323","for"
"1324","it"
"1325","if"
"1326","i"
"1327","were"
"1328","you"
"1329","so"
"1330","don't"
"1331","worry.i'll"
"1332","make"
"1333","all"
"1334","the"
"1335","arrangements"
"1336","no"
"1337","i'd"
"1338","really"
"1339","need"
"1340","your"
"1341","help"
"1342","here"
"1343","lan"
"1344","i'm"
"1345","not"
"1346","gonna"
"1347","let"
"1348","you"
"1349","stealthe"
"1350","declaration"
"1351","of"
"1352","independence"
"1353","ok"
"1354","from"
"1355","this"
"1356","point"
"1357","onall"
"1358","you're"
"1359","going"
"1360","to"
"1361","be"
"1362","is"
"1363","a"
"1364","hindrance"
"1365","hey"
"1366","what"
"1367","are"
"1368","you"
"1369","gonna"
"1370","do"
"1371","are"
"1372","you"
"1373","gonna"
"1374","shoot"
"1375","me"
"1376","shaw"
"1377","well"
"1378","you"
"1379","can't"
"1380","shoot"
"1381","me.there's"
"1382","more"
"1383","to"
"1384","the"
"1385","riddle"
"1386","information"
"1387","you"
"1388","don't"
"1389","have"
"1390","i"
"1391","do"
"1392","i'm"
"1393","the"
"1394","only"
"1395","one"
"1396","who"
"1397","can"
"1398","figure"
"1399","it"
"1400","out"
"1401","and"
"1402","you"
"1403","know"
"1404","that"
"1405","he's"
"1406","bluffing"
"1407","we"
"1408","played"
"1409","poker"
"1410","together"
"1411","lan.you"
"1412","know"
"1413","i"
"1414","can't"
"1415","bluff"
"1416","tell"
"1417","me"
"1418","what"
"1419","i"
"1420","need"
"1421","to"
"1422","know"
"1423","ben"
"1424","or"
"1425","i'll"
"1426","shoot"
"1427","your"
"1428","friend"
"1429","hey"
"1430","quiet"
"1431","riley"
"1432","your"
"1433","job's"
"1434","finished"
"1435","here"
"1436","look"
"1437","where"
"1438","you're"
"1439","standing.all"
"1440","that"
"1441","gunpowder"
"1442","you"
"1443","shoot"
"1444","me"
"1445","i"
"1446","drop"
"1447","this"
"1448","we"
"1449","all"
"1450","go"
"1451","up"
"1452","ben"
"1453","what"
"1454","happens"
"1455","when"
"1456","the"
"1457","flare"
"1458","burns"
"1459","down"
"1460","tell"
"1461","me"
"1462","what"
"1463","i"
"1464","need"
"1465","to"
"1466","know"
"1467","ben"
"1468","you"
"1469","need"
"1470","to"
"1471","know"
"1472","if"
"1473","shaw"
"1474","can"
"1475","catch"
"1476","nice"
"1477","try"
"1478","though"
"1479","get"
"1480","out"
"1481","shaw"
"1482","fool"
"1483","riley"
"1484","get"
"1485","over"
"1486","here"
"1487","what"
"1488","is"
"1489","this"
"1490","smuggler's"
"1491","hold"
"1492","get"
"1493","in"
"1494","move"
"1495","get"
"1496","out"
"1497","of"
"1498","here"
"1499","what"
"1500","move"
"1501","get"
"1502","out"
"1503","follow"
"1504","me"
"1505","let's"
"1506","go"
"1507","let's"
"1508","go"
"1509","she's"
"1510","gonna"
"1511","blow"
"1512","get"
"1513","down"
"1514","ok"
"1515","let's"
"1516","go.before"
"1517","someone"
"1518","sees"
"1519","the"
"1520","smoke"
"1521","there's"
"1522","an"
"1523","inuit"
"1524","villageabout"
"1525","nine"
"1526","miles"
"1527","east"
"1528","of"
"1529","here"
"1530","it's"
"1531","popular"
"1532","with"
"1533","bush"
"1534","pilots"
"1535","all"
"1536","right"
"1537","then"
"1538","what"
"1539","are"
"1540","we"
"1541","gonna"
"1542","do"
"1543","start"
"1544","making"
"1545","our"
"1546","way"
"1547","back"
"1548","home"
"1549","no"
"1550","i"
"1551","meant"
"1552","about"
"1553","lan"
"1554","he's"
"1555","gonna"
"1556","stealthe"
"1557","declaration"
"1558","of"
"1559","independence"
"1560","ben"
"1561","we"
"1562","stop"
"1563","him"
"1564","is"
"1565","it"
"1566","really"
"1567","so"
"1568","hard"
"1569","to"
"1570","believe"
"1571","that"
"1572","someone's"
"1573","gonna"
"1574","try"
"1575","to"
"1576","stealthe"
"1577","declaration"
"1578","of"
"1579","independence"
"1580","the"
"1581","fbi"
"1582","gets"
"1583","tips"
"1584","a"
"1585","week"
"1586","they're"
"1587","not"
"1588","gonna"
"1589","worry"
"1590","aboutsomething"
"1591","they're"
"1592","sure"
"1593","is"
"1594","safe"
"1595","but"
"1596","anyone"
"1597","that"
"1598","can"
"1599","do"
"1600","anythingis"
"1601","gonna"
"1602","think"
"1603","we're"
"1604","crazy"
"1605","anyone"
"1606","crazy"
"1607","enough"
"1608","to"
"1609","believe"
"1610","usisn't"
"1611","gonna"
"1612","want"
"1613","to"
"1614","help"
"1615","we"
"1616","don't"
"1617","need"
"1618","someone"
"1619","crazy"
"1620","but"
"1621","onestep"
"1622","short"
"1623","of"
"1624","crazy"
"1625","what"
"1626","do"
"1627","you"
"1628","get"
"1629","obsessed"
"1630","passionate"
"1631","excuse"
"1632","me"
"1633","dr"
"1634","chase"
"1635","can"
"1636","see"
"1637","you"
"1638","now"
"1639","mr"
"1640","brown"
"1641","thank"
"1642","you"
"1643","mr"
"1644","brown"
"1645","the"
"1646","family"
"1647","name"
"1648","doesn't"
"1649","get"
"1650","a"
"1651","lotof"
"1652","respect"
"1653","in"
"1654","the"
"1655","academic"
"1656","community"
"1657","huh"
"1658","being"
"1659","kept"
"1660","down"
"1661","by"
"1662","the"
"1663","man"
"1664","a"
"1665","very"
"1666","cute"
"1667","man"
"1668","thank"
"1669","you"
"1670","good"
"1671","afternoon"
"1672","gentlemen"
"1673","hi"
"1674","abigail"
"1675","chase"
"1676","paul"
"1677","brown"
"1678","nice"
"1679","to"
"1680","meet"
"1681","you"
"1682","bill"
"1683","nice"
"1684","to"
"1685","meet"
"1686","you"
"1687","bill"
"1688","how"
"1689","may"
"1690","i"
"1691","help"
"1692","you"
"1693","your"
"1694","accent"
"1695","pennsylvania"
"1696","dutch"
"1697","saxony"
"1698","german"
"1699","you're"
"1700","not"
"1701","american"
